symptom_id,symptom_name,body_system,severity_indicator,present_in_major_incident
162,Dark tea-coloured urine (conjugated bilirubin),Renal,moderate,false
163,Polydipsia (excessive thirst),Endocrine,moderate,false
164,Polyuria (excessive urination),Endocrine,moderate,false
165,Polyphagia (excessive hunger),Endocrine,mild,false
166,Pruritus (generalised itching),Integumentary,mild,false
167,Ankle or leg oedema,Cardiovascular,moderate,false
168,Orthopnoea (breathlessness lying flat),Cardiovascular,moderate,false
169,Paroxysmal nocturnal dyspnoea,Cardiovascular,severe,false
170,Cyanosis,Respiratory,severe,false
171,Haematemesis (vomiting blood),Gastrointestinal,severe,false
172,Melaena (black tarry stool),Gastrointestinal,severe,false
173,Flank pain radiating to groin,Genitourinary,severe,false
174,Dysarthria (slurred speech),Neurological,severe,false
175,Facial drooping,Neurological,severe,false
176,Sudden unilateral arm weakness,Neurological,severe,false
177,Ataxia (loss of coordination),Neurological,moderate,false
178,Paraesthesia (pins and needles),Neurological,mild,false
179,Back pain radiating down leg (sciatica),Musculoskeletal,moderate,false
180,Constipation,Gastrointestinal,mild,false
181,Rectal bleeding,Gastrointestinal,moderate,false
182,Dysphagia (difficulty swallowing),Gastrointestinal,moderate,false
183,Odynophagia (painful swallowing),Gastrointestinal,mild,false
184,Heartburn and acid regurgitation,Gastrointestinal,mild,false
185,Bloating,Gastrointestinal,mild,false
186,Chest pain radiating to left arm or jaw,Cardiovascular,severe,false
187,Sweating with chest pain,Cardiovascular,severe,false
188,Syncope (transient loss of consciousness),Cardiovascular,moderate,false
189,Pre-syncope and light-headedness,Cardiovascular,mild,false
190,Intermittent claudication,Vascular,moderate,false
191,Rest pain in foot,Vascular,severe,false
192,Skin ulceration on lower limb,Vascular,moderate,false
193,Lymphadenopathy (enlarged lymph nodes),Immunological,moderate,false
194,Splenomegaly,Haematological,moderate,false
195,Easy bruising,Haematological,mild,false
196,Prolonged bleeding from minor cuts,Haematological,moderate,false
197,Bone pain,Musculoskeletal,moderate,false
198,Pathological fracture,Musculoskeletal,severe,false
199,Hot tender swollen joint,Musculoskeletal,moderate,false
200,Morning joint stiffness lasting more than one hour,Musculoskeletal,moderate,false
